interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,98,1850.4,1869.8,98,ga,0.0,0.0,glin_bad_share,0.0,3.76771970000118,18940,0,56
1,1,98,120,1870.0,1874.2,22,ga,0.0,0.0,coll_bad_share,0.0,2.638233800069429,16648,0,50
2,2,120,135,1874.4,1877.2,15,ga,0.0,0.0,glin_bad_share,0.0,2.420410400023684,16953,0,50
3,1,135,158,1877.4,1881.8,23,ga,0.0,0.0,coll_bad_share,0.0,2.737094100099057,16648,0,50
4,2,158,173,1882.0,1884.8,15,ga,0.0,0.0,glin_bad_share,0.0,2.6646548999706283,16953,0,50
5,1,173,194,1885.0,1889.0,21,ga,0.0,0.0,coll_bad_share,0.0,2.35411459999159,16648,0,50
6,2,194,224,1889.2,1895.0,30,ga,0.005333333333333334,0.006666666666666667,glin_bad_share,0.0,3.84252559999004,24217,0,72
7,1,224,278,1895.2,1905.8,54,ga,0.0,0.0,coll_bad_share,0.0,2.517177499947138,16648,0,50
8,2,278,298,1906.0,1909.8,20,ga,0.0,0.0,glin_bad_share,0.0,5.250302799977362,35016,0,105
9,1,298,318,1910.0,1913.8,20,ga,0.0,0.0,coll_bad_share,0.0,2.46279240003787,16648,0,50
10,2,318,350,1914.0,1920.2,32,ga,0.0,0.0,glin_bad_share,0.0,2.55602729995735,17289,0,51
11,1,350,385,1920.4,1927.2,35,ga,0.0,0.0,coll_bad_share,0.0,2.958791400073096,16648,0,50
12,2,385,403,1927.4,1930.8,18,ga,0.0,0.0,glin_bad_share,0.0,2.3611137999687344,16953,0,50
